Part Type,Part Number,Serial Number,Date,Process,Pass / Fail,Failure Type,Details,,,,,
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01786,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01787,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01788,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01789,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01790,1/5/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01791,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01792,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01793,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01794,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01795,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01796,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01797,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01798,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01799,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01800,1/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01801,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01802,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU01803,1/11/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
